"AA","Actividades alternativas","Act. Alt.",,,
"AC","Actividades Complementarias","Ac. Comp.",,,"ORI"
"ACT","Ámbito Científico-Técnico","Ámb.Cient.","Técnico","ACT","ORI"
"AFB","Área Formación Básica","Form. Bas.","F. Bas.","AFB","ORI"
"AFOL","Área Formac. y Ori. laboral","Form. Lab.","Form. Lab.","AFOL","ORI"
"AG","Aplicaciones informáticas de g","AG",,"AG",
"AL","Audición y Lenguaje","Aud. y Len",,"AL","ORI"
"ALS","Ámbito Lingüístico-Social","Ámb.Ling.","Social","ALS","ORI"
"AMAT","Ampliación Matemáticas","Mat",,"AMAT","MA"
"AMFR","Ampliación Francés","Fra",,"AMFR","FR"
"AMIN","Ampliación de Inglés","Ing",,"AMIN","IN"
"APO3","Apoyo a Inglés","Apo","Ing","APO3","IN"
"APO4","Apoyo a ALS","Apo","SL","APO4","ORI"
"APOL","Apoyo a Lengua","Apo. Leng",,,"ORI"
"APOM","Apoyo a matemáticas","Apo. Mat.",,,
"ASTR","Astronomía","Astr",,"ASTR","BG"
"BG","Biología y Geología","Biol","Geol","BG","BG"
"BIOL","Biología","Biol",,"BIOL","BG"
"CCON","Campo de la Comunicación","Campo","Com.","CCON","LC"
"CINE","El Cine","Cine",,"CINE",
"CLC","Cultura Clásica","Cultura","Clásica","CLC","LA"
"CMAN","Campo de las Matemáticas","Campo","Mat.","CMAN","MA"
"CNA","Ciencias Naturales","Cien.","Nat.","CNA","BG"
"CNAN","Campo de la Naturaleza","CNAT",,"CNAN","BG"
"CSO","Ciencias Sociales","CSO",,"CSO","GE"
"CSON","Campo de la Sociedad","CSOC",,"CSON","GE"
"CTMB","C.C. Tierra y Medio Ambiente","Cien.","Tierra","CTMB","BG"
"CTS","Ciencia, Tecnología y Sociedad","CTS",,"CTS","FI"
"DBM","Destrezas básicas de matemátic","Dest. bas.","Matem.","DBM","MA"
"DFSI","Des.Funciones en S.Inf.","Desarrollo","Funciones","DFSI","INF"
"DIB","Dibujo Artístico","Dibujo","Artístico","DIB","DI"
"DISO","Diseño asistido ordenador","Dis","Ord","DISO","INF"
"DT","Dibujo Técnico","Dib.","Técnico","DT","DI"
"ECE","Economía y Org. de Empresas","Eco","Empr","ECE","EC"
"ECO","Economía","Eco",,"ECO","EC"
"EDF","Educación Física","EDF",,"EDF","EF"
"EPV","Ed.Plástica y Visual","EPV",,"EPV","DI"
"ETI","Ética","Eti",,"ETI","FI"
"FCT","Formación Centros Trabajo","Formación","Trabajo","FCT","INF"
"FES","Formación Específica","Form. Esp.","For. Esp.","FES","ORI"
"FIL","Filosofía","Fil",,"FIL","FI"
"FÍS","Física","Física",,"FÍS","FQ"
"FOL","Formación y Orientación Labora","Form.","Lab","FOL","INF"
"FP","Fundamentos de Programación","Fund.","Progr.","FP","INF"
"FQ","Física y Química","Fís","Quí","FQ","FQ"
"FQPC","Física y Química Productos Con","FQPC",,"FQPC","FQ"
"FR2","Francés 2","Fr2",,"FR2","FR"
"FRA","Francés","Fra",,"FRA","FR"
"GEOG","Geografía","Geog",,"GEOG","GE"
"GEOL","Geología","Geol",,"GEOL","BG"
"GH","Geografía e Historia","Geogr","Hist.","GH","GE"
"GRI","Griego","Gri",,"GRI","GR"
"GRI1","Griego I","Gri1",,"GRI1","GR"
"GRI2","Griego II","Gri2",,"GRI2","GR"
"HAR","Historia del Arte","Hª","Arte","HAR","GE"
"HES","Historia de España","Hª","España","HES","GE"
"HF","Historia de la Filosofía","Hª","Fil","HF","FI"
"HIC","Hª del Mundo Contemporáneo","Hª","Cont.","HIC","GE"
"IAG","Implant. Aplic. Gestión","Aplic.","Gestión","IAG","INF"
"IAI","Implantación de Aplicaciones","Imp. de Ap",,,
"INF","Informática","Inf",,"INF","TC"
"ING","Inglés","Ing",,"ING","IN"
"INI","Iniciación Profesional","Inic","Prof","INI","ORI"
"LAT","Latín","Lat",,"LAT","LA"
"LAT1","Latín I","Lat1",,"LAT1","LA"
"LAT2","Latín II","Lat2",,"LAT2","LA"
"LEN","Lengua Española","Leng","Esp","LENG","LC"
"LHB","La Lengua como herramienta bás","leng.herr.","bas. apre.","LHB","LC"
"LIT","Literatura","LIT",,"LIT","LC"
"LIU","Literatura Universal","Lit","Univ","LIU","LC"
"LLC","Lengua y Literatura Castellana","Leng","Cast","LLC","LC"
"MA2E","Matematicas de 2º de ESO",,,,
"MART","Manifestaciones Artísticas y A","MART",,"MART",
"MAT","Matemáticas","Mat",,"MAT","MA"
"MAT1","Matemáticas I","Mat I",,"MAT1","MA"
"MAT2","Matemáticas II","Mat II",,"MAT2","MA"
"MATA","Matemáticas A","Mat A",,"MATA","MA"
"MATB","Matemáticas B","Mat B",,"MATB","MA"
"MCS","Matemáticas Aplicadas CCSS","Mat. CSO",,"MCS","MA"
"MCS1","Matemáticas Aplicadas I","Mat","CS 1","MCS1","MA"
"MCS2","Matemáticas Aplicadas II","Mat","CS 2","MCS2","MA"
"MTEC","Mundo Trabajo Economía","MTEC",,"MTEC",
"MUS","Música","Mus",,"MUS","MU"
"PRSV","Personas: seres vivos","PRSV",,"PRSV","BG"
"PSI","Psicología","Psico",,"PSI","FI"
"QUÍ","Química","Química",,"QUÍ","FQ"
"RAL","Redes de Área Local","Redes","Local","RAL","INF"
"RC3","Repaso campo comunicacion 3º",,,,
"RCD","Repro. y confec. documentos","Re. CC. do",,"RCD","ORI"
"REL","Religión Católica","Rel",,"REL",
"REP3","Repaso de 3º ESPA","Rep.ESPA",,,
"RET","Relaciones Entorno trabajo","Relac.","Trabajo","RET","INF"
"RM3","Repaso campo matematicas 3º",,,,
"RN3","Repaso campo naturaleza 3º",,,,
"RS3","Repaso campo sociedad 3º",,,,
"SCR","Sociedad,Cultura y Religión","SCR",,"SCR",
"SGBD","Sist.Gestores Bases Datos","Gestores","DB","SGBD","INF"
"SMM","Sistema Mono-Multiusuario","Sist.","Monomult.","SMM","INF"
"TALE","Taller de Lengua","Tall. Leng",,"TALE","LC"
"TAR","Taller de Artesanía","TAR",,"TAR","DI"
"TCAP","Téc. comun. y atenc. al públi.","Tec. At. P",,"TCAP","ORI"
"TCO","Taller de Comunicación","Tall","Com","TCO","LC"
"TEC","Tecnología","Tec",,"TEC","TC"
"TEI1","Tecnología Industrial I","Tec","Ind 1","TEI1","TC"
"TEI2","Tecnología Industrial II","Tec","Ind 2","TEI2","TC"
"TEO","Tec. Elemen.de oficina","Tec. Ofi.",,"TEO","ORI"
"TINF","Tecnología de la Información","INF",,"TINF","INF"
"TMA","Taller de Matemáticas","TMA",,"TMA","MA"
"TPA","Taller Proced. Artístic","TPA",,"TPA","DI"
"TRAN","Transición Vida Adulta","Tran","Adulta","TRA","ORI"
"TUT","Tutoría",,,,
